posted_date,skills,job_name,job_type,company_name,description,ld_link
2020-07-22,"['.NET', 'ASP.NET', 'Angular', 'C', 'C#', 'CSS', 'HTML', 'Java', 'JavaScript', 'MVC', 'React', 'SQL', 'jQuery']",. net," -  Full-time, Contract",Kree,"Job Tittle: .net developerNote: only on W2 Required skills : .NET, C#ASP.NET MVCJavaScript, HTML, CSS and jQueryWeb APIEntity FrameworkSQLComputer Science DegreeAngular 2+ or ReactJob Types: Full-time, ContractSalary: $80,000.00 - $100,000.00 per yearWork Remotely:Temporarily due to COVID-19",https://www.learningdollars.com/client/select_engineers/?crid=2023
2020-07-25,"['Agile', 'Bash', 'C', 'Data Engineering', 'Git', 'Go', 'JIRA', 'Java', 'Jenkins', 'Linux', 'MySQL', 'NoSQL', 'Postgres', 'Python', 'SCRUM', 'SQL', 'SSIS', 'XML']",Test Automation Engineer,"Full-time, Contract",ALTEN Calsoft Labs,"Title: Test Automation EngineerLocation: RemoteDuration: 6 months with potential to extend As a Test Automation Engineer for the Metadata Engineering team, you will help transition our metadata pipeline to a new platform. Specific tasks will include automating tests to verify the quality of the data produced by the new pipeline. You’ll work in a distributed Agile scrum environment to deliver new and innovative products for internal and external Music Metadata customers.Required skills and experience· 5+ years of progressive hands-on experience as a software or test automation engineer.· Experience with a major RDBMS including at least one of the following: SQL Server, MySQL, PostgreSQL or Oracle.· Strong automated test development skills.· Strong SQL programming skills.· Strong programming skills with a scripting language like Python.· Strong programming skills in an object-oriented language like Java.· Experience with the Linux CLI and bash scripting.· Experience with git or svn.· Experience working with data in a variety of formats including JSON and XML.· Experience with CI tools such Jenkins.· Strong communications skills.Preferred skills and experience· Experience with a NoSQL database such as Mongo.· Experience with ETL tools such as SSIS or PDI/Kettle.· Experience working in an Agile Scrum environment.· Experience with Jira.Job Types: Full-time, ContractWork Remotely:Yes",https://www.learningdollars.com/client/select_engineers/?crid=2024
2020-07-22,"['C', 'Chai', 'Postgres', 'SQL']",Database Developer (PostgreSQL),Contract,zb.io,"Description: We are looking for a freelance Database Developer to help us with some work for about three months. I wanted to know if your company could help us with this and if you have any candidates available for this type of work. I’ve included more detail below of what we are looking for.The next generation of Client's Data warehouse appliance will be built and delivered in a new supply chain model. Consequently, significant changes will be required in the design of the database that is supporting Client's supply chain.We are looking for a database developer with solid experience designing and implementing PostgreSQL-like databases in global supply chain and manufacturing environments. The application will ingest data from internal and external sources for use primarily in product traceability forensics and reporting but may have other use cases relating to product performance.Requirements: Looking for someone with Postgresql exp. - a must haveWill work with Manufacturing/Supply chain/Operations teamsThey are rolling out next gen models for data warehouseThis person will be responsible for designing and implementing the data bases.They currently have postgresQL as their database.Data transfers and updates needed.Job Type: ContractExperience:Data Warehouse: 4 years (Required)PostgreSQL: 6 years (Required)Database Developer: 7 years (Required)Education:Bachelor's (Required)Location:Remote (Preferred)Work authorization:United States (Required)Work Remotely:Yes",https://www.learningdollars.com/client/select_engineers/?crid=2025
2020-06-30,"['C', 'Continuous Integration', 'DeFi', 'Microsoft SQL Server', 'Power BI', 'SQL']",BI Analyst/BI developer," -  Part-time, Contract",Digital dhara,"BI Analyst/BI developer Long TermRemotePosition Overview: The Senior Business Intelligence Analyst is responsible for turning data into knowledge, enabling business decisions.Specific Duties Include: Partnering with the user community to create new business intelligence, reporting and data analysis solutions.Maintaining existing software systems related to business intelligence, reporting and data analysis.Identify improvements to existing business intelligence, reporting and data analysis.Capture, develop, and document data definitions, business rules, and data quality requirements.Build and maintain ETL (Extract, Transform, Load) and integration processes.Validate data delivered to user community.Ensure compliance with Company data and software policies and procedures.Monitor software systems to ensure reliability and accuracy of information loaded into the databases.Maintain all documentation related to database objects, source systems, and operations.Conduct complex, important work under minimal supervision and with wide latitude for independent judgment.Minimum Qualifications: 6+ years of experience working in software engineeringExperience with Microsoft SQL ServerExperience with DomoExperience with PowerBIExperience with Microsoft SQL Server Reporting Service (SSRS)Ability to work on multiple project concurrentlyAbility to manage time effectivelyStrong written and verbal communication skillsAbility to work effectively in a fast paced, collaborative environmentEducation Requirements: Bachelor's Degree in Computer Science, Software Engineering, or related fieldPreferred Qualifications: Previous leadership experience preferredKnowledge of document databases including RavenPrevious experience with Microsoft Dynamics AXPrevious experience with SalesforceSoftware development in a continuous integration and continuous deployment environment.QualificationsThanks & Regards,NaveenJob Types: Part-time, ContractSalary: $45.00 - $50.00 per hourExperience:power bi : 3 years (Required)DOMO : 4 years (Required)Education:Bachelor's (Required)",https://www.learningdollars.com/client/select_engineers/?crid=2026
2020-07-24,"['.NET', 'C', 'Django', 'Go', 'Java', 'JavaScript', 'Python', 'REST', 'React', 'SSIS', 'Sass']",React Developer,Contract,Syrinx,"Senior Front-End Developer – React

Boston, MA – 100% Remote
12-month contract with extensions

U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time. No Corp to Corp.

The Senior Developer will be a key member of our growing technical team. The work will focus on expanding the functionality and adding new features to our quantitative financial application. The candidate will have the opportunity to work on interesting and challenging projects using advanced technologies while learning and implementing state-of-the-art techniques in quantitative finance. Creativity is both welcomed and encouraged. The role includes possibilities for growth, leadership and equity participation.


Jobs Duties:

Lead the design and implementation of our Javascript (ReactJS) front-end interfaceImplement novel network/algorithm flow visualization and interaction featuresAssist with extending the functionality of our core Python engine and associated class librariesActively participate in product demos and marketing with client prospects

Skills and qualifications:

4+ years in a commercial software development roleHands-on experience with with Javascript/ReactJSFamiliarity with Django & PythonCreativity and a passion for learning, scientifically-minded & intellectually curious",https://www.learningdollars.com/client/select_engineers/?crid=2027
2020-07-06,"['Android Studio', 'C', 'G Suite', 'Java', 'JavaScript', 'Lean', 'Mocha', 'Python', 'REST', 'React', 'React native', 'Security', 'Typescript', 'XCode']",JavaScript Developer,Contract,Digital dhara,"React Native-JavaScript Developer Location: NYC, NY remote is fineLong term Skill - React Native-Java scripting-Web service.10 years of experience Firm grasp of the JavaScript or Typescript language and its nuances Knowledge of object-oriented programming Ability to write well-documented, clean JavaScript code Rock solid at working with third-party dependencies and debugging dependency conflicts Familiarity with native build tools, like XCode, Gradle, Android Studio, IntelliJ Understanding of REST APIs, the document request model, and offline storage Experience with automated testing suites, like Jest or Mocha1. iOS/Android apps with Location-based services on mobile - Bluetooth integration / GPS2. Security: Authentication & AuthorizationØ SSO Integration with HR systems like HRIS (Human Resource Information System)Ø SAML/OIDC (OpenID Connect)3. Integration with device manufacture API's/system Integration4. Language: Typescript and PythonJob Type: ContractExperience:React Native: 5 years (Required)JavaScript: 10 years (Required)SSO Integration : 5 years (Required)Python: 5 years (Required)Education:Bachelor's (Required)",https://www.learningdollars.com/client/select_engineers/?crid=2028
30+ days ago,"['Agile', 'Azure', 'C', 'C#', 'Continuous Integration', 'DevOps', 'Go', 'HTTP', 'Lean', 'React', 'Rust', 'SQL', 'SQLite', 'Sketch', 'Visual Studio', 'Windows', 'Xamarin']","UI Developer, Xamarin.Forms", -  Contract,Computer Staff,"We have been retained by our client in the north Dallas, Texas area (Frisco, Texas) to deliver a number of qualified UI Developers on a very long- term (2-3+ years) contract basis. 100% remote workers are qualified , if residing within one of the fifty states of the USA.
Design and develop highly complex user interfaces and associated components with C#, Xamarin.Forms and XAML. Translate Sketch files into working Xamarin.Forms screens, written in XAML. Generate custom components as needed. Work with Xamarin Developers to wire business logic into screens. These are main themes and thrust of this UI Developer opportunity, however you may be asked to take on Xamarin development tasks or automated test creation, as needed.
We are seeking UI Developers with the following skill sets:


4+ years of C# experience (more C# preferred) designing and developing highly complex user interfaces for Windows applications (or Xamarin) utilizing C# including WPF or WinForms , or Xamarin , including User Interface design and development.
XAML is highly preferred. Xamarin.Forms is highly preferred. MVVM highly preferred
To understand the dev environment, this is the dev team’s tech stack:
 C#

o Xamarin.Forms

o XAML

o SQLite

o Reactive Extensions

o Azure DevOps

o Xamarin Test Cloud

o NUnit

o Resharper

o Fiddler
They use Visual Studio on dev machines. They use Macs to display iOS results. They use SQLite due to the fact these Android, iOS, Windows mobile devices can be disconnected for longer periods of time while data/information is added while disconnect and data syncs much later. This is an enterprise-level application of a large corporation with 20,000 users.


Here is the general ideas of the agile development team this UI Developer will be an integral part of:
o Learn, adhere to, and enforce standards & best practices
o Deliver the highest quality designs & code for the project
o Participate in SAFe team ceremonies (daily stand-up, planning sessions, etc.)
o Provide estimates for tasks
o Provide progress updates to team while working tasks
o Research and troubleshooting issues in QA and production
o Implement all ReSharper feedback that is “Warning” level and above. There are a few case-by-case exceptions to this; the Architect will provide guidance.
o Adhere to SOLID principles
o Adhere to Microsoft’s API Design Guidelines
o Adhere to the Command Query Separation principle
o Leverage the principles of Design by Contract (DbC)
o Leverage the Clean Architectural style for layering, decomposition, and dependency validation
o Leverage Dependency Injection to decouple components
o Leverage Domain Driven Design principles and patterns where appropriate
o Provide complete software comments for public interfaces, classes, structs, enums, and methods including: abstraction descriptions, exceptions thrown, and verbiage augmenting codified DbC specifications.
o Eliminate duplicate code
o Code/design should be decoupled/modular/composable to facilitate extraction of any potentially reusable code as a mature common component.
o All forms of serialized data should be versioned to help ensure a smooth migration path as the software matures/evolves.
o Classes should be organized within the project as vertical slices of functionality instead horizontal abstraction types.
o Good usage of reactive design, reactive principles, and use of Reactive Extensions (Rx).
o Adhere to the Composed Method style of functional decomposition where possible.
o Leverage reactive data streams to explicitly model changing data as first class citizen.
o Leverage Event Sourcing model to preserve separation between remotely-source data and device-sourced data throughout data synchronization.
o Leverage State Machines to govern progression of subsystems/objects/workflows through allowed states via declared triggers.
o Embrace Continuous Integration / Continuous Delivery using robust automated build pipelines that automatically execute static code analyzers, design analyzers, unit tests, and integration tests.

Employment Type: Contract (long term, 2-3+ years)


Hourly Rate: $45 – 65 per hour (depends upon experience)


Benefits: health, dental, vision.


Location: Dallas, Texas

north Dallas – Frisco, Texas area

100% remote workers are qualified , if residing within one of the fifty states of the USA.


Immigration: US citizens and those authorized to work in the US are encouraged to apply. We are unable to sponsor H1b candidates at this time. US Citizens & US Permanent Residents needed.


No Consulting Firms. No third parties. No employment agencies. No recruiters. Principals Only.


Please apply here to this advertisement with resume (MS Word format preferred), or on the Job Posting page, both work fine:


http://www.computerstaff.com/?jobIdDescription=422


Please call or send a text to 817-424-1411 , including your name , to inquire about this position or to alert us of your resume submission.",https://www.learningdollars.com/client/select_engineers/?crid=2029
2020-07-21,"['.NET', 'C', 'Django', 'Go', 'Java', 'JavaScript', 'Machine learning', 'Numpy', 'OCR', 'Python', 'REST', 'React', 'SQL', 'SSIS', 'Sass', 'scikit-learn']",Full Stack Developer (Python),Contract,Syrinx,"Full-Stack Senior Developer

Boston, MA – 100% Remote
12-month contract with extensions

The Senior Developer will be a key member of our client’s growing technical team. The work will focus on expanding the functionality and adding new features to our quantitative financial application. The candidate will have the opportunity to work on interesting and challenging projects using advanced technologies while learning and implementing state-of-the-art techniques in quantitative finance. Creativity is both welcomed and encouraged. The role includes possibilities for growth, leadership and equity participation.

Duties:

Expand the design & functionality of our core Python engine and associated class librariesAssist the design and implementation of our Javascript (ReactJS) front-end interfaceImplement/integrate machine learning algorithms into the Quotient applicationCreate additional tools for product deployment, testing and client operational managementImplement novel network/algorithm flow visualization and interaction featuresAid in the addition/integration of new financial content setsAdd to our SQL/Python data management capabilitiesActively participate in product demos and marketing with client prospects

Skills and qualifications:

5+ years in a commercial software development roleHands-on experience with Python (particularly Numpy, SciPy & scikit-learn)Familiarity with Javasript/ReactJS & DjangoCreativity and a passion for learning, scientifically-minded & intellectually curiousKnowledge of C & SQL helpful",https://www.learningdollars.com/client/select_engineers/?crid=2030
2020-07-23,"['C', 'REST', 'Security']",Senior Back End Developer (Full-time contract),"Full-time, Contract",Instrument,"You’re an experienced backend developer who can architect and execute on medium to large scale applications, manage and execute deployments in an efficient, organized and timely way and always with security and efficiency in mind. You know the systems and languages well enough to tackle any site or product problem with the appropriate solution, and can articulate the process in understandable terms to the rest of your team. You're fluent in multiple languages and are able to articulate solutions to technical and non-technical people.",https://www.learningdollars.com/client/select_engineers/?crid=2031
2020-07-07,"['C', 'Cassandra', 'ECMA', 'ECMAScript', 'Git', 'Go', 'HTTP', 'Java', 'JavaScript', 'Microservices', 'NoSQL', 'Nodejs', 'REST', 'React', 'Redux', 'SQL']",Fullstack Developer ( React & Node ),"Part-time, Temporary, Contract","Simplex info systems Inc,","Job Description Candidates should have a sound knowledge of both React Frontend and Node backend. Key requirements for this candidate:· Candidate should have at least 7 years of experience· Minimum 3 yrs of experience in Javascript framework with core understanding of events, callback, promises using ECMAScript version 2015 (ES6) and above 3.Thorough understanding of React.js and its core principles including Virtual DOM, Data Binding, State & Props and React Lifecycle· Has worked with React Middleware such as Saga or Redux· Knowledge of isomorphic React is a plus· Has worked on Node backend to create REST API with deep knowledge of best practices for building Microservices (HTTP Verbs, Endpoint, Entity)· Knowledge of BACKEND Node.js and frameworks and libraries such as Express, Async, Lodash, socket, etc 8.Demonstrate capabilities to connect to other REST API or storage system (SQL or NoSQL based)· Demonstrate ability to design either NoSQL (Mongo/Cassandra) or SQL· Demonstrate skill for performance optimization for both frontend and backend· Familiarity with code versioning tools such as Git, SVNJob Types: Part-time, Temporary, ContractExperience:Node JS, React JS: 6 years (Preferred)",https://www.learningdollars.com/client/select_engineers/?crid=2032
30+ days ago,"['AWS', 'Bootstrap', 'C', 'CSS', 'Expo', 'Git', 'HTML', 'JIRA', 'Java', 'JavaScript', 'Postgres', 'RSpec', 'Ruby', 'Ruby on rails', 'SQL', 'SSIS', 'Sass', 'jQuery']","Jr. Developer, Ruby on Rails - Contract Position",Contract,Alana Healthcare,"Description:

SUMMARY: Alana Healthcare helps patients manage their chronic diseases in a more effective and efficient manner through remote monitoring and direct outreach and education to improve quality of everyday living.
The role of the Jr. Ruby on Rails Developer is to aid in the design, testing, development, and maintenance of Rails applications that support Alana’s team of clinicians, nurses, and salespersons in fulfilling the company’s primary mission.
ESSENTIAL DUTIES AND RESPONSIBILITIESRespond to bug reports, coding solutions and communicate fixes to usersAssist in increasing overall test coverage for newly-developed Trium Portal (Rails app)Implement integration testing for TriumWork with IT Developer and Operations team to determine priorities of upcoming featuresParticipate in ticket refinement and estimation with IT Developer for feature developmentDesign and Develop featuresParticipate in code review with IT Developer
MINIMUM REQUIREMENTSBachelor’s degree in Computer Science, Engineering or 3 years’ experience in related field1 year experience building web applications with Ruby on Rails1 year experience working with Javascript/JQueryProficiency working in/with the following:
o Test-Driven Development (RSpec, Minitest, Capybara, et al)
o APIs
o Git/GitHub
o HTML5/CSS/Bootstrap
o PostgreSQLSolid understanding of OOP design patternsCompetent in working in all phases of the development lifecycleAs a condition of employment, qualified individual will be subject to a background check, including criminal history check and character references.
Preferred but not required:Experience with HIPAA complianceKnowledge and use of JIRAKnowledge and use of Aptible/AWS
WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.
The noise level in the work environment is moderate (business office with computers, printers, fax machines and light traffic). While performing the duties of this job, there are no exposures to environmental conditions.
PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position.
While performing the duties of this job, the employee is frequently required to sit, stand, walk, stoop and climb, use hands to finger, handle or feel, talk and hear. The employee must occasionally lift and/or move up to 50 pounds. There are no special vision, taste or smelling requirements.
. Requirements:

MINIMUM REQUIREMENTSBachelor’s degree in Computer Science, Engineering or 3 years’ experience in related field1 year experience building web applications with Ruby on Rails1 year experience working with Javascript/JQueryProficiency working in/with the following:
o Test-Driven Development (RSpec, Minitest, Capybara, et al)
o APIs
o Git/GitHub
o HTML5/CSS/Bootstrap
o PostgreSQLSolid understanding of OOP design patternsCompetent in working in all phases of the development lifecycleAs a condition of employment, qualified individual will be subject to a background check, including criminal history check and character references.
Preferred but not required:Experience with HIPAA complianceKnowledge and use of JIRAKnowledge and use of Aptible/AWS
WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.
The noise level in the work environment is moderate (business office with computers, printers, fax machines and light traffic). While performing the duties of this job, there are no exposures to environmental conditions.
PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position.
While performing the duties of this job, the employee is frequently required to sit, stand, walk, stoop and climb, use hands to finger, handle or feel, talk and hear. The employee must occasionally lift and/or move up to 50 pounds. There are no special vision, taste or smelling requirements.",https://www.learningdollars.com/client/select_engineers/?crid=2033
2020-06-30,"['C', 'CSS', 'CSS preprocessors', 'Django', 'Git', 'Go', 'GraphQL', 'HTML', 'Java', 'JavaScript', 'PHP', 'Python', 'React', 'Ruby', 'Rust', 'Sass', 'Vue.js', 'Wordpress', 'jQuery']",Front-End Web Developer,Contract,The Motley Fool,"Do you eat, sleep and breathe CSS, HTML, and Javascript? Do you like assembling the pieces from a team of designers and developers, translating it into web-speak and building an amazing experience for our members? Then the Motley Fool’s Front-End Web Developer role might be just up your alley! In this role, you’ll be working closely with a talented team of developers and designers to help create an enriching user experience of functional and appealing web applications that allows our products to ""Make the World Smarter, Happier, and Richer"".

We’re searching high and low for a developer who knows a great user experience starts with a functional and attractive digital environment for users to explore. Having an understanding of the entire web development process from development to delivery, including design, development and deployment, with some back-end knowledge also wouldn’t hurt. So if you’re looking to not only write code but also make the digital magic happen, let’s chat!We’d love to work with you if:
You solve problems: You spot issues and inefficiencies from a mile away and aren’t afraid to suggest solutions and then dive in to implement them. You know when to go looking for input from others, and you are constantly looking for ways to improve our code, processes, and people.
You pay attention to detail: Missed details erode accountability, and that hurts when our customers are trusting us to manage and invest their hard-earned savings. You actively pull in other team members to review your code, and instinctively deliver test coverage with new features.
You’re curious and you love to learn: Whether it’s the latest technology, how the Foolish business operates, or investing; you have an insatiable appetite for knowledge. And you love to share with your fellow Fools – dropping links in Slack is like breathing for you.
You take pride in your work: The thought of a customer seeing an errant div keeps you up at night. When a member cancels, it brings a tear to your eye. You want to ensure that every customer has a great experience and loves The Motley Fool because of what you build.
Ideal Skills:
Proficiency in HTML, CSS, and JavaScript
Proficiency in developing responsive, mobile-friendly, and accessible web interfaces
Experience with one or more JavaScript libraries (jQuery, gulp/grunt, NPM)
Experience using CSS preprocessors (SASS, LESS)
Additional nice to haves:
Experience with a backend web framework in a dynamically-typed language (Python/Django, Ruby/Rails, PHP/Wordpress, etc)
Experience with Frontend JS frameworks (such as Vue.js or React)
Familiarity with GraphQL
Experience with Wagtail (particularly around creating templates that can host a variety of SteamField elements)
Finance, investing or FinTech work experience
Media or publishing work experience
Sounds like you? Awesome! We might have a bright future together – so go ahead and click that ‘Apply’ button!

Are you a 75% match? No problem! If you’re super-confident in three out of four skills we’re looking for, please apply. We’ll discuss the areas where you’d like to improve and help you get there.",https://www.learningdollars.com/client/select_engineers/?crid=2034
2020-07-16,"['Agile', 'Apache Kafka', 'C', 'Cassandra', 'Excel', 'Git', 'Go', 'Java', 'Linux', 'MongoDB', 'NoSQL', 'SOAP', 'SQL', 'Scala']",Scala Developer,Contract,Shark Analytics,"Description:Client is looking for Scala Developer for our client to build end to end business solutions and to work with one of the leading retail client in the US. The ideal candidate must possess strong background on backend development technologies. The candidate must possess excellent written and verbal communication skills with the ability to collaborate effectively with domain experts and technical experts in the team.Key Responsibilities- Create a real time event streaming and complex event processing platform.- Understanding of how to build modular and scalable solution architectures- Integrating multiple technologies and data sources- Experience working within Agile development teamsRequirements- 10 Years of Java Development experience- Experience in Scala with minimum of 3 years- Expertise required in Framework like Play Spray framework- Tool kit Akka, SBT Parser,Lift JSON- Server side experience in JDBC, Servlets, JSP, SAX DOM, Web Services, SOAP, WSDL, UDDI, JAXB- Good understanding of JVM- Experinece in Database SQL command, NoSQL solution such as MongoDb, or Cassandra will be a plus- SCM Git, SVN, ClearCase- Build NAnt, sbt, FMake, NuGet, gulp- Application Containers Apache, Tomcat, Jetty- Web Web Logic 5.x 6.x, Websphere 3.5 4- Messaging RabbitMQ, Apache Kafka- Operating Systems Mac OS X, Ubuntu, LinuxJob Type: ContractExperience:Play Spray framework: 3 years (Required)Scala: 3 years (Required)Java Development: 10 years (Required)Apache Kafka: 3 years (Required)",https://www.learningdollars.com/client/select_engineers/?crid=2035
30+ days ago,"['C', 'CSS', 'Data visualization', 'Drupal', 'Git', 'Go', 'HTML', 'Photoshop', 'REST', 'Sketch', 'Zeplin']",Senior Drupal Developer - Freelance (Remote),Contract,Graphicacy,"Graphicacy, an analytic design and interactive web development studio, is looking for an experienced freelance Senior Drupal Developer to build great interactive experiences and manage all technical aspects of our Drupal websites. Graphicacy works with forward-looking progressive think tanks, academic institutions, non-profits, corporations, and other clients to tell important stories visually. Graphicacy is well established - over eight years in business, with an impressive portfolio and client roster.
The ideal candidate for this position will be a senior developer who is excited about what we do, capable of working on projects from start to finish, and is able to jump in on an existing project with minimal guidance when needed.
Responsibilities
Leads the efforts of small and large projects, ensuring good and timely work.
Takes ownership of technical solutions, development, and delivery to production.
Builds custom Drupal 7 & 8 solutions to business needs, while adhering to industry best practices
Codes effective, visually appealing HTML/CSS themes from designs created with a variety of software/tools such as Photoshop, Sketch, and Zeplin, provided by the creative team.
Ensures the performance and availability of our Drupal sites, both on the front-end and back-end

Position Requirements
Experience and interest in information graphics and data visualization and familiarity with a range of front-end technologies.
3 to 5 years of relevant development experience working in Drupal 8 coupled with front-end experience.
Full-stack knowledge
Experience deploying Drupal builds with Pantheon
Knowledge of Git within Pantheon
Ability to think outside the box to solve problems
Aptitude and desire to do whatever it takes to deliver a world class experience
Strong strategic thinking, planning, organizational and interpersonal skills desirable
Ability to take ownership of assigned tasks and responsibilities.",https://www.learningdollars.com/client/select_engineers/?crid=2036
30+ days ago,"['C', 'Excel']",Augmented Reality Developer I,Contract,Infotree Service Inc,"Company Description

null

Job Description

Augmented Reality/eLearning Developer
(Technical Customer Support)

Responsibilities:
Working in a small project-oriented team to create custom AR experiences for product trainingCollaborating with other developers and clients to evaluate project needs and devise training solutionsSetting up virtual environments for a wide range of AR scenariosImplementing user interfaces based on CAD drawings, mockups, and storyboardsCrafting intuitive user interactions for both novice and experienced usersDesign and develop training materials including: storyboards, job aids, participant and instructor guides. All materials will be based on content and specifications provided by subject matter experts.Diagnosing, documenting, and fixing bugs reported by testers and usersParticipating in project planning and team reviewsKeeping up with the latest trends and advancements in augmented and virtual realityRecommend appropriate and innovative solutions, and complete the design and development of all web-based, virtual, on-the-job and classroom materials. Build a plan into each learning project for evaluating the successful achievement of training outcomes
Provide thought leadership around evaluation of course effectiveness.
Work with management to standardize global training content delivery.
Requirements:
Bachelor’s degree in field with 9+ years exp. ORMaster’s degree in field with 7+ years exp. ORDoctoral degree in field with 4+ years exp.Undergraduate degree in Computer Science, Adult Learning and Education, or military training experience.Extensive knowledge of standard AR hardware, software, best practices, and design patternsCreativity in finding solutions to abstract design problems, particularly with respect to translating real-world concepts and interactions into ARCapacity to prioritize tasks through self-directed time management and organizationUI/UX ability and experience a plusUse development content tools (Storyline 360 and/or Storyline 3) to create effective and engaging e-learning.Familiarity with Scope AR is preferred.Exceptional communication (verbal and written)Technical aptitude to comprehend technical product training contentStrong MS Office skills (Outlook, Word, Excel)Demonstrated track record of strong organizational skillsDemonstrated ability in and commitment to continuous process improvement.

Qualifications

null

Additional Information

All your information will be kept confidential according to EEO guidelines.",https://www.learningdollars.com/client/select_engineers/?crid=2037
2020-07-10,"['Agile', 'Angular', 'Bootstrap', 'C', 'CSS', 'Docker', 'Excel', 'Git', 'Go', 'HTML', 'Java', 'JavaScript', 'Nodejs', 'REST', 'React', 'React native', 'Redux', 'SCRUM', 'SEO', 'Sass', 'Scala', 'Typescript', 'UI Design']",Javascript React Frontend developer," -  Full-time, Contract",Inidea Consulting,"Javascript React Front-End DeveloperWe are building out the latest generation of credit reporting services using Javascript and React capable of supporting hundreds of thousands of visitors daily, on mobile and desktop. We are seeking an experienced, results-driven, and passionate developer to join a remote project team. Our ideal candidate is a self-starter and has excellent communication skills. Our collaborative environment relies heavily on innovation, technical savvy, and problem-solving skills.This is a full-time remote US-based position.Responsibilities:Works closely with the UI/UX team to create applications for high-traffic websitesProfile and improve the performance and scalability of servicesIdentify ways to improve our technology and processParticipate in code and technical design reviewsDesign metrics and dashboards to empower data-driven decisionsInfluence the direction of our platform with your own ideasQualifications:5+ years of UI/Presentation Layer hands-on development experienceExcellent analytical and problem solving skillsExperience working in an Agile + Scrum environmentExperience implementing User Stories and writing unit testsExcellent written and verbal communication skillsAcute knowledge and understanding of ES6 and TypeScriptStrong experience with ReactAbility to create precise interfaces from wireframes or visual mockups using maintainable and reusable codeUnderstanding of UI design standards and best practices (Material, etc.)Ability to write software that consumes RESTful web servicesMastery of of JSONMastery of cross-browser HTML and CSSUnderstanding of using Containers and Docker development environmentThorough understanding of git [github or gitlab] (we use the gitlab gitflow)Ability to keep up with evolving web standards (HTML5, CSS3, ES6+) and best practicesSelf-managed developer, also able to work closely with and incorporate feedback from engineers, user experience team, and product managersNICE TO HAVEExperience with React NativeExperience with Golang and NodeJS building RESTful servicesUse LESS and SASS and GulpExperience optimizing code and supporting high-traffic websitesExperience working with web components in various frameworks (Angular, Reactjs, Ember)Experience working in banking or any credit related productsBootstrap UI frameworkSEO knowledgeJob Types: Full-time, ContractPay: $20.00 - $60.00 per hourExperience:Material UI: 1 year (Required)javascript: 5 years (Required)ReactJS/Redux: 3 years (Required)Education:Bachelor's (Required)Work authorization:United States (Required)Work Remotely:Yes",https://www.learningdollars.com/client/select_engineers/?crid=2038
